brand,brand_topic_num,brand_topic_name,brand_positive,brand_neutral,brand_negative
Blibli,38,"jargon, kesuksesan, damn",0.0,0.0,0.0
Blibli,39,"mah, teu, kang",0.0,0.0,0.0
Blibli,40,"siauw, felix, skakmat",0.0,0.0,0.0
Blibli,41,"nescafe, produsen, lowongan",0.0,0.0,0.0
Blibli,42,"2017, polytron, global",0.0,0.0,0.0
Blibli,43,"bekti, ssefmun, indra",0.0,0.0,0.0
Blibli,44,"tp201, vivobook, meluncur",0.0,0.0,0.0
Blibli,45,"gideon, marcus, fernaldi",0.0,0.0,0.0
Blibli,46,"cha, eun, ambassador",0.7458483576774597,0.0,0.0
Blibli,47,"axioo, diakui, asli",0.0,0.0,0.0
Blibli,48,"hammerifw, diadakan, februari",0.0,0.0,0.0
Blibli,49,"rauf, raden, radenrauf",0.0,0.0,0.0
Blibli,50,"qr, livin, kopi",0.0,0.0,0.0
Blibli,51,"australia, bekti, pindah",0.0,0.0,0.0
Blibli,52,"ampat, tambang, raja",0.0,0.0,0.0
Blibli,53,"tanyakanrl, hayuuuuukk, cewe",0.0,0.0,0.0
Blibli,54,"jodoh, hestek, pakein",0.0,0.0,0.0
Blibli,55,"posted, photo, just",0.0,0.0,0.0
Blibli,56,"officialcatcoin, catcoin, giveaway",0.0,0.0,0.0
Blibli,57,"metro_tv, mandiri, terbaik",0.0,0.0,0.0
Blibli,58,"goooo, umurnya, kmu",0.0,0.0,0.0
Lazada,-1,"yg, indonesia, brand",0.9608665704727173,0.9145537447929383,0.9911905527114868
Lazada,0,"the, and, to",0.7786125093698502,0.9620764255523682,0.0
Lazada,1,"diskon, brand, promo",0.9359814524650574,0.9115050799316831,0.0
Lazada,2,"yg, ga, aja",0.0,0.503062903881073,0.9388642907142639
Lazada,3,"chef, zahra, gozali",0.0,0.0,0.0
Lazada,4,"dennysantoso, indonesia, tarikuang",0.9514510730902354,0.921296755472819,0.0
Lazada,5,"habib, ustadz, ust",0.0,0.0,0.0
Lazada,6,"de, la, su",0.0,0.0,0.0
Lazada,7,"gisella, anastasia, mulya",0.0,0.0,0.0
Lazada,8,"award, penghargaan, best",0.0,0.9561556875705719,0.0
Lazada,9,"sibungbung, miawaug, jess",0.0,0.0,0.0
Lazada,10,"isyana, sarasvati, seno",0.0,0.9971919655799866,0.0
Lazada,11,"h7qvqkhavsqrqqjhzofei6hztazhmbbtrdlppwadngl, sol, bfrk23t4zbm963xpl7uvtyerywvwz1nav6mntkwkvbzq",0.0,0.0,0.0
Lazada,12,"bernapas, rip, dewa",0.0,0.0,0.0
Lazada,13,"高仿包包, 时尚, 衣服",0.0,0.0,0.0
Lazada,14,"ni, nak, tu",0.9990731477737427,0.0,0.0
Lazada,15,"btr, zuxxy, luxxy",0.0,0.0,0.0
Lazada,16,"kh, nafis, cholil",0.0,0.0,0.0
Lazada,17,"tingting, ayu, iki",0.0,0.0,0.0
Lazada,18,"dandhy_laksono, achehsultanate, proklamasi",0.0,0.0,0.0
Lazada,19,"qrisbri, komitmenbri, bri",0.0,0.0,0.0
Lazada,20,"chika, kinsky, yumi",0.0,0.0,0.0
Lazada,21,"kau, nagara, wira",0.0,0.0,0.0
Lazada,22,"fypシ, shopeehaul, fypviraltwitter",0.0,0.0,0.0
Lazada,23,"محمد, الله, سيدنا",0.0,0.0,0.0
Lazada,24,"baha, gus, tyasazuri",0.0,0.0,0.0
Lazada,25,"galaxys25, itsgalaxys25, samsungid",0.0,0.0,0.0
Lazada,26,"scarlett, whitening, angelista",0.0,0.0,0.0
Lazada,27,"iqbaal, ramadhan, dhiafakhri",0.0,0.0,0.0
Lazada,28,"kiw, malming, ngantuk",0.0,0.0,0.0
Lazada,29,"bawang, masukkan, gr",0.0,0.0,0.0
Lazada,30,"combipharid, hangestri, megawati",0.0,0.0,0.0
Lazada,31,"jet, lion, air",0.0,0.0,0.0
Lazada,32,"selaluadayangbaik, merryriana, orang",0.0,0.0,0.0
Lazada,33,"rian, fahardhi, tiktok",0.0,0.0,0.0
Lazada,34,"gak, nadanya, nyindir",0.0,0.0,0.0
Lazada,35,"dwnmemb_, dian, laura",0.0,0.0,0.0
Lazada,36,"__________________, ___luckyone, arabil__",0.0,0.0,0.0
Lazada,37,"telenovelena, mom, blm",0.0,0.0,0.0
Lazada,38,"jargon, kesuksesan, damn",0.0,0.0,0.0
Lazada,39,"mah, teu, kang",0.0,0.0,0.0
Lazada,40,"siauw, felix, skakmat",0.0,0.0,0.0
Lazada,41,"nescafe, produsen, lowongan",0.0,0.0,0.0
Lazada,42,"2017, polytron, global",0.0,0.0,0.0
Lazada,43,"bekti, ssefmun, indra",0.0,0.0,0.0
Lazada,44,"tp201, vivobook, meluncur",0.0,0.0,0.0
Lazada,45,"gideon, marcus, fernaldi",0.0,0.0,0.0
Lazada,46,"cha, eun, ambassador",0.0,0.0,0.0
Lazada,47,"axioo, diakui, asli",0.0,0.0,0.0
Lazada,48,"hammerifw, diadakan, februari",0.0,0.0,0.0
Lazada,49,"rauf, raden, radenrauf",0.0,0.0,0.0
Lazada,50,"qr, livin, kopi",0.0,0.0,0.0
Lazada,51,"australia, bekti, pindah",0.0,0.0,0.0
Lazada,52,"ampat, tambang, raja",0.0,0.0,0.0
Lazada,53,"tanyakanrl, hayuuuuukk, cewe",0.0,0.0,0.0
Lazada,54,"jodoh, hestek, pakein",0.0,0.0,0.0
Lazada,55,"posted, photo, just",0.0,0.0,0.0
Lazada,56,"officialcatcoin, catcoin, giveaway",0.0,0.0,0.0
Lazada,57,"metro_tv, mandiri, terbaik",0.0,0.0,0.0
Lazada,58,"goooo, umurnya, kmu",0.0,0.0,0.0
JD.ID,-1,"yg, indonesia, brand",0.8846235600384799,0.9935681644607993,0.964547872543335
JD.ID,0,"the, and, to",0.9709765513737997,0.0,0.0
JD.ID,1,"diskon, brand, promo",0.9007896099771772,0.961136861094113,0.0
JD.ID,2,"yg, ga, aja",0.0,0.0,0.5884001851081848
JD.ID,3,"chef, zahra, gozali",0.0,0.0,0.0
JD.ID,4,"dennysantoso, indonesia, tarikuang",0.9686834812164307,0.8236575722694397,0.0
JD.ID,5,"habib, ustadz, ust",0.0,0.0,0.0
JD.ID,6,"de, la, su",0.0,0.0,0.0
JD.ID,7,"gisella, anastasia, mulya",0.0,0.0,0.0
JD.ID,8,"award, penghargaan, best",0.0,0.0,0.0
JD.ID,9,"sibungbung, miawaug, jess",0.0,0.0,0.0
JD.ID,10,"isyana, sarasvati, seno",0.0,0.0,0.0
JD.ID,11,"h7qvqkhavsqrqqjhzofei6hztazhmbbtrdlppwadngl, sol, bfrk23t4zbm963xpl7uvtyerywvwz1nav6mntkwkvbzq",0.0,0.0,0.0
JD.ID,12,"bernapas, rip, dewa",0.0,0.0,0.0
JD.ID,13,"高仿包包, 时尚, 衣服",0.0,0.0,0.0
JD.ID,14,"ni, nak, tu",0.0,0.0,0.0
JD.ID,15,"btr, zuxxy, luxxy",0.0,0.0,0.0
JD.ID,16,"kh, nafis, cholil",0.0,0.0,0.0
JD.ID,17,"tingting, ayu, iki",0.0,0.0,0.0
JD.ID,18,"dandhy_laksono, achehsultanate, proklamasi",0.0,0.0,0.0
JD.ID,19,"qrisbri, komitmenbri, bri",0.0,0.0,0.0
JD.ID,20,"chika, kinsky, yumi",0.0,0.0,0.0
JD.ID,21,"kau, nagara, wira",0.0,0.0,0.0
JD.ID,22,"fypシ, shopeehaul, fypviraltwitter",0.0,0.0,0.0
JD.ID,23,"محمد, الله, سيدنا",0.0,0.0,0.0
JD.ID,24,"baha, gus, tyasazuri",0.0,0.0,0.0
JD.ID,25,"galaxys25, itsgalaxys25, samsungid",0.0,0.0,0.0
JD.ID,26,"scarlett, whitening, angelista",0.0,0.0,0.0
JD.ID,27,"iqbaal, ramadhan, dhiafakhri",0.0,0.0,0.0
JD.ID,28,"kiw, malming, ngantuk",0.0,0.0,0.0
JD.ID,29,"bawang, masukkan, gr",0.0,0.0,0.0
JD.ID,30,"combipharid, hangestri, megawati",0.0,0.0,0.0
JD.ID,31,"jet, lion, air",0.0,0.0,0.0
JD.ID,32,"selaluadayangbaik, merryriana, orang",0.0,0.0,0.0
JD.ID,33,"rian, fahardhi, tiktok",0.0,0.0,0.0
JD.ID,34,"gak, nadanya, nyindir",0.0,0.0,0.0
JD.ID,35,"dwnmemb_, dian, laura",0.0,0.0,0.0
JD.ID,36,"__________________, ___luckyone, arabil__",0.0,0.0,0.0
JD.ID,37,"telenovelena, mom, blm",0.0,0.0,0.0
JD.ID,38,"jargon, kesuksesan, damn",0.0,0.0,0.0
JD.ID,39,"mah, teu, kang",0.0,0.0,0.0
JD.ID,40,"siauw, felix, skakmat",0.0,0.0,0.0
JD.ID,41,"nescafe, produsen, lowongan",0.0,0.0,0.0
JD.ID,42,"2017, polytron, global",0.0,0.0,0.0
JD.ID,43,"bekti, ssefmun, indra",0.0,0.0,0.0
JD.ID,44,"tp201, vivobook, meluncur",0.0,0.0,0.0
JD.ID,45,"gideon, marcus, fernaldi",0.0,0.0,0.0
JD.ID,46,"cha, eun, ambassador",0.0,0.0,0.0
JD.ID,47,"axioo, diakui, asli",0.0,0.0,0.0
JD.ID,48,"hammerifw, diadakan, februari",0.0,0.0,0.0
JD.ID,49,"rauf, raden, radenrauf",0.0,0.0,0.0
JD.ID,50,"qr, livin, kopi",0.0,0.0,0.0
JD.ID,51,"australia, bekti, pindah",0.0,0.0,0.0
JD.ID,52,"ampat, tambang, raja",0.0,0.0,0.0
JD.ID,53,"tanyakanrl, hayuuuuukk, cewe",0.0,0.0,0.0
JD.ID,54,"jodoh, hestek, pakein",0.0,0.0,0.0
JD.ID,55,"posted, photo, just",0.0,0.0,0.0
JD.ID,56,"officialcatcoin, catcoin, giveaway",0.0,0.0,0.0
JD.ID,57,"metro_tv, mandiri, terbaik",0.0,0.0,0.0
JD.ID,58,"goooo, umurnya, kmu",0.0,0.0,0.0
Sociolla,-1,"yg, indonesia, brand",0.9954984982808431,0.82179094851017,0.9727684855461121
Sociolla,0,"the, and, to",0.9954432547092438,0.9164963841438294,0.0
Sociolla,1,"diskon, brand, promo",0.8795055598020554,0.9155018585068839,0.0
Sociolla,2,"yg, ga, aja",0.850391685962677,0.9764869928359985,0.0
Sociolla,3,"chef, zahra, gozali",0.0,0.0,0.0
Sociolla,4,"dennysantoso, indonesia, tarikuang",0.8086469769477844,0.9958409667015076,0.0
Sociolla,5,"habib, ustadz, ust",0.0,0.0,0.0
Sociolla,6,"de, la, su",0.0,0.0,0.0
Sociolla,7,"gisella, anastasia, mulya",0.0,0.0,0.0
Sociolla,8,"award, penghargaan, best",0.0,0.0,0.0
Sociolla,9,"sibungbung, miawaug, jess",0.0,0.0,0.0
Sociolla,10,"isyana, sarasvati, seno",0.0,0.0,0.0
Sociolla,11,"h7qvqkhavsqrqqjhzofei6hztazhmbbtrdlppwadngl, sol, bfrk23t4zbm963xpl7uvtyerywvwz1nav6mntkwkvbzq",0.0,0.0,0.0
Sociolla,12,"bernapas, rip, dewa",0.0,0.0,0.0
Sociolla,13,"高仿包包, 时尚, 衣服",0.0,0.0,0.0
Sociolla,14,"ni, nak, tu",0.9987662434577942,0.9881092011928558,0.0
Sociolla,15,"btr, zuxxy, luxxy",0.0,0.0,0.0
Sociolla,16,"kh, nafis, cholil",0.0,0.0,0.0
Sociolla,17,"tingting, ayu, iki",0.0,0.0,0.0
Sociolla,18,"dandhy_laksono, achehsultanate, proklamasi",0.0,0.0,0.0
Sociolla,19,"qrisbri, komitmenbri, bri",0.0,0.0,0.0
Sociolla,20,"chika, kinsky, yumi",0.0,0.0,0.0
Sociolla,21,"kau, nagara, wira",0.0,0.0,0.0
