influencer,influencer_topic_num,influencer_topic_name,influencer_positive,influencer_neutral,influencer_negative
Iqbaal Ramadhan,46,"cha, eun, ambassador",0.0,0.0,0.0
Iqbaal Ramadhan,47,"axioo, diakui, asli",0.0,0.0,0.0
Iqbaal Ramadhan,48,"hammerifw, diadakan, februari",0.0,0.0,0.0
Iqbaal Ramadhan,49,"rauf, raden, radenrauf",0.0,0.0,0.0
Iqbaal Ramadhan,50,"qr, livin, kopi",0.0,0.0,0.0
Iqbaal Ramadhan,51,"australia, bekti, pindah",0.0,0.0,0.0
Iqbaal Ramadhan,52,"ampat, tambang, raja",0.0,0.0,0.0
Iqbaal Ramadhan,53,"tanyakanrl, hayuuuuukk, cewe",0.0,0.0,0.0
Iqbaal Ramadhan,54,"jodoh, hestek, pakein",0.0,0.0,0.0
Iqbaal Ramadhan,55,"posted, photo, just",0.0,0.0,0.0
Iqbaal Ramadhan,56,"officialcatcoin, catcoin, giveaway",0.0,0.0,0.0
Iqbaal Ramadhan,57,"metro_tv, mandiri, terbaik",0.0,0.0,0.0
Iqbaal Ramadhan,58,"goooo, umurnya, kmu",0.0,0.0,0.48690924048423767
Michelle Ziudith,-1,"yg, indonesia, brand",0.9016110181808472,0.9360164557733843,0.8730067372322082
Michelle Ziudith,0,"the, and, to",0.0,0.9495231807231903,0.0
Michelle Ziudith,1,"diskon, brand, promo",0.9950637221336365,0.9130726337432862,0.0
Michelle Ziudith,2,"yg, ga, aja",0.9201558324479565,0.9228053907553355,0.9434877634048462
Michelle Ziudith,3,"chef, zahra, gozali",0.0,0.9987603425979614,0.0
Michelle Ziudith,4,"dennysantoso, indonesia, tarikuang",0.0,0.9957778453826904,0.0
Michelle Ziudith,5,"habib, ustadz, ust",0.0,0.0,0.0
Michelle Ziudith,6,"de, la, su",0.0,0.0,0.0
Michelle Ziudith,7,"gisella, anastasia, mulya",0.0,0.0,0.0
Michelle Ziudith,8,"award, penghargaan, best",0.0,0.0,0.0
Michelle Ziudith,9,"sibungbung, miawaug, jess",0.0,0.0,0.0
Michelle Ziudith,10,"isyana, sarasvati, seno",0.0,0.0,0.0
Michelle Ziudith,11,"h7qvqkhavsqrqqjhzofei6hztazhmbbtrdlppwadngl, sol, bfrk23t4zbm963xpl7uvtyerywvwz1nav6mntkwkvbzq",0.0,0.0,0.0
Michelle Ziudith,12,"bernapas, rip, dewa",0.0,0.0,0.0
Michelle Ziudith,13,"高仿包包, 时尚, 衣服",0.0,0.0,0.0
Michelle Ziudith,14,"ni, nak, tu",0.0,0.0,0.0
Michelle Ziudith,15,"btr, zuxxy, luxxy",0.0,0.0,0.0
Michelle Ziudith,16,"kh, nafis, cholil",0.0,0.0,0.0
Michelle Ziudith,17,"tingting, ayu, iki",0.7458376288414001,0.9868416786193848,0.0
Michelle Ziudith,18,"dandhy_laksono, achehsultanate, proklamasi",0.0,0.0,0.0
Michelle Ziudith,19,"qrisbri, komitmenbri, bri",0.0,0.0,0.0
Michelle Ziudith,20,"chika, kinsky, yumi",0.0,0.0,0.0
Michelle Ziudith,21,"kau, nagara, wira",0.9487907290458679,0.0,0.0
Michelle Ziudith,22,"fypシ, shopeehaul, fypviraltwitter",0.0,0.0,0.0
Michelle Ziudith,23,"محمد, الله, سيدنا",0.9904840191205343,0.6078731417655945,0.937052027175301
Michelle Ziudith,24,"baha, gus, tyasazuri",0.0,0.0,0.0
Michelle Ziudith,25,"galaxys25, itsgalaxys25, samsungid",0.0,0.0,0.0
Michelle Ziudith,26,"scarlett, whitening, angelista",0.0,0.0,0.0
Michelle Ziudith,27,"iqbaal, ramadhan, dhiafakhri",0.0,0.0,0.0
Michelle Ziudith,28,"kiw, malming, ngantuk",0.0,0.0,0.0
Michelle Ziudith,29,"bawang, masukkan, gr",0.0,0.0,0.0
Michelle Ziudith,30,"combipharid, hangestri, megawati",0.0,0.0,0.0
Michelle Ziudith,31,"jet, lion, air",0.0,0.0,0.0
Michelle Ziudith,32,"selaluadayangbaik, merryriana, orang",0.0,0.0,0.0
Michelle Ziudith,33,"rian, fahardhi, tiktok",0.0,0.0,0.0
Michelle Ziudith,34,"gak, nadanya, nyindir",0.0,0.0,0.0
