influencer_name,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
Agustina Hermanto,-0.4398704,-0.41440964,0.42505446,0.062282037,-0.33370298,-0.0749513,0.12397258,-0.36078992,0.36296937,0.65747666,0.5041204,0.4994956,0.047004092,-0.30286038,0.81310695,-0.05824682
Najwa Shihab,-0.40116647,-0.20999901,0.33911467,0.16276403,-0.10620816,-0.036749575,0.08393459,-0.2704903,0.3438827,0.45333368,0.40833634,0.43150693,0.10486577,-0.23232868,0.78720367,0.010796651
Dewi Lestari,-0.43091398,-0.23624581,0.37707135,0.17208834,-0.13033012,-0.036824726,0.0870708,-0.29831797,0.3631589,0.4917779,0.457733,0.47820678,0.14018433,-0.25526437,0.8451921,0.013114893
Brian Febrian,-0.42216474,-0.2155409,0.35155505,0.17097753,-0.106875785,-0.03844952,0.089247584,-0.28288412,0.35740963,0.46855393,0.42395687,0.4458985,0.1037331,-0.24465111,0.82318974,0.0061887065
Najelaa Shihab,-0.4131577,-0.21261495,0.35103452,0.1625884,-0.11719588,-0.058477767,0.08123881,-0.27606073,0.33730865,0.41651648,0.42428347,0.43713602,0.13878153,-0.22665896,0.7873972,-0.013663833
Gede Prama,-0.3324031,-0.16489784,0.30239728,0.12956536,-0.101093896,-0.07149191,0.0740266,-0.22879194,0.23669733,0.26943836,0.35960168,0.33836818,0.17710292,-0.17111956,0.62600464,-0.033037946
Gitasav,-0.41576275,-0.21044455,0.35951954,0.16681816,-0.12232754,-0.060079195,0.084798604,-0.28381866,0.33061022,0.39936695,0.4288308,0.43396965,0.15742064,-0.22631149,0.7850771,-0.018115416
Alya Nurshabrina,-0.41232097,-0.20895913,0.35747185,0.16677625,-0.12306224,-0.060812455,0.08393337,-0.2822808,0.32676813,0.3924346,0.42574614,0.4306602,0.16020115,-0.22291923,0.77824813,-0.018087417
Reza Aditya,-0.41647768,-0.21133454,0.35157105,0.16630842,-0.11190574,-0.051387638,0.08475182,-0.27884564,0.3437274,0.43093726,0.42033562,0.4367763,0.12325439,-0.2336405,0.79747546,-0.007428676
Felix Siauw,-0.41086316,-0.21686685,0.36247054,0.17275955,-0.13718906,-0.056288257,0.08151105,-0.2883963,0.3285602,0.39785993,0.4323032,0.44188496,0.17685436,-0.22042826,0.77884656,-0.009086323
Nadia Mulya,-0.36925822,-0.18866372,0.31722564,0.15102687,-0.100791514,-0.0513867,0.0741097,-0.24897194,0.30300018,0.3793013,0.37828818,0.39219752,0.12186457,-0.20420817,0.716401,-0.0027772016
Luna Vidya,-0.3723341,-0.18450673,0.32627305,0.15027231,-0.103865184,-0.061681513,0.08045917,-0.25391185,0.2876505,0.3450389,0.38641068,0.38256365,0.15042771,-0.20018755,0.7110713,-0.018236095
Agustinus Wibowo,-0.39876336,-0.21091571,0.33321208,0.15654925,-0.09669602,-0.032674946,0.07947145,-0.26376143,0.34756148,0.47935206,0.4089667,0.4370913,0.084837586,-0.24024685,0.7965536,0.01774109
Rara Sekar,-0.49117336,-0.2799765,0.44722196,0.19945818,-0.17005067,-0.026486622,0.11494968,-0.35559243,0.41184315,0.5584733,0.5256138,0.5421,0.18024363,-0.2944181,0.9510422,0.018979473
Isyana Sarasvati,-0.40140995,-0.2011841,0.33334625,0.16016676,-0.100580916,-0.040629864,0.081407025,-0.26798674,0.33963704,0.43646917,0.40403286,0.4230116,0.10312683,-0.23057294,0.7750457,-0.001102716
Vidi Aldiano,-0.45049846,-0.23795661,0.38856104,0.17771079,-0.13074303,-0.042281546,0.096596286,-0.30872062,0.37569314,0.48787954,0.46448824,0.480538,0.13882045,-0.26114818,0.86486995,-0.00037858536
Helga Angelina,-0.45797282,-0.25240082,0.40895727,0.17556919,-0.16354495,-0.023685817,0.099916294,-0.333735,0.40052867,0.5329567,0.4787415,0.5013334,0.17250781,-0.26066655,0.8653282,0.035029273
Melati Wijsen,-0.43856117,-0.23617537,0.39108607,0.16662647,-0.16048731,-0.04048608,0.088975854,-0.3170843,0.3758094,0.4736283,0.458005,0.4749498,0.18778126,-0.2365861,0.8128954,0.02062784
Anindya Kusuma,-0.4713701,-0.26821092,0.42385375,0.18744439,-0.15503265,-0.02513146,0.10693019,-0.33576727,0.4018475,0.5527346,0.50479144,0.52429724,0.1584867,-0.28554204,0.9205781,0.020929487
Eva Bande,-0.473733,-0.22998175,0.37808922,0.14069714,-0.16537254,0.014261316,0.10759461,-0.34117103,0.42684266,0.5935181,0.4198917,0.47558224,0.116826504,-0.2316524,0.82236534,0.07349705
Zahra Muzdalifah,-0.40766373,-0.20900919,0.3496331,0.17079675,-0.1248167,-0.04335034,0.0803125,-0.28461283,0.33591273,0.41849837,0.4248068,0.43724993,0.15215498,-0.22575538,0.77676535,-0.0036767162
Sarwendah,-0.44895527,-0.2357739,0.38134575,0.17900819,-0.11882014,-0.03383693,0.10227521,-0.3042418,0.38251784,0.5082202,0.45136875,0.4739318,0.10783374,-0.26537013,0.8740899,0.010093503
Cut Meyriska,-0.45082828,-0.24090444,0.3857726,0.17746952,-0.1203994,-0.029091151,0.103069834,-0.30655038,0.38834345,0.5261042,0.45735762,0.48165798,0.10494834,-0.27163896,0.8824184,0.01510455
Danu Alqamara,-0.43216804,-0.23934379,0.37719426,0.17129175,-0.121393345,-0.026444681,0.09763821,-0.29648152,0.3766515,0.5206011,0.44658267,0.4740307,0.106909044,-0.26290756,0.8574208,0.02463039
Donna Harun,-0.4605219,-0.24928701,0.40071678,0.1853415,-0.13402258,-0.029436301,0.106310844,-0.31964093,0.39188623,0.5269066,0.47286806,0.49451765,0.12777542,-0.2746885,0.8972684,0.015395336
Rian Fahardhi,-0.4568407,-0.25725612,0.41512677,0.18216945,-0.15459743,-0.045545693,0.09929834,-0.32266194,0.37599778,0.49311426,0.48672265,0.5022336,0.17449649,-0.26508564,0.88070905,0.0064643114
Nona Berlian Sakina,-0.39967716,-0.22727749,0.3655455,0.1659764,-0.13977504,-0.041239753,0.080702275,-0.28546447,0.33359745,0.43829447,0.43360245,0.45192042,0.16568601,-0.22868487,0.7806465,0.014246282
Henjiwong,-0.5913092,-0.33812386,0.5169248,0.22167586,-0.16563317,0.020915965,0.17174736,-0.4172115,0.5289372,0.7806952,0.60173416,0.63194877,0.08918006,-0.3936666,1.1635711,0.038918663
