influencer,influencer_top1_positive,influencer_top1_neutral,influencer_top1_negative,influencer_top1_name,influencer_top2_positive,influencer_top2_neutral,influencer_top2_negative,influencer_top2_name,influencer_top3_positive,influencer_top3_neutral,influencer_top3_negative,influencer_top3_name
Greysia Polii,0.9848844210306803,0.6330160626343319,0.8035626113414764,"the, and, to",0.0,0.9180634990334511,0.0,"diskon, brand, promo",0.0,0.982687458395958,0.838936984539032,"yg, ga, aja"
Apriyani Rahayu,0.0,0.9977751276322774,0.0,"diskon, brand, promo",0.9040870666503906,0.9214223861694336,0.0,"the, and, to",0.0,0.0,0.0,"yg, ga, aja"
Liliyana Natsir,0.857975443204244,0.984183840061489,0.0,"diskon, brand, promo",0.0,0.9975739256902174,0.0,"combipharid, hangestri, megawati",0.7890246510505676,0.9400656372308731,0.0,"the, and, to"
Rio Haryanto,0.955880880355835,0.9267595360676447,0.9387017786502838,"dennysantoso, indonesia, tarikuang",0.9122141798337301,0.8152248813555791,0.8512153625488281,"the, and, to",0.0,0.9033388048410416,0.5908355116844177,"ampat, tambang, raja"
Anthony Ginting,0.0,0.8588988102972508,0.9634311199188232,"chef, zahra, gozali",0.8301794528961182,0.818555311723189,0.7670073747634888,"the, and, to",0.9877103865146637,0.9920385897159576,0.0,"diskon, brand, promo"
Jonatan Christie,0.5294283032417297,0.9788693598023167,0.0,"diskon, brand, promo",0.0,0.9746813228789796,0.0,"chef, zahra, gozali",0.9766049683094025,0.9322400178228106,0.0,"the, and, to"
Kevin Sanjaya,0.6033845394849777,0.9520847889093252,0.5763533711433411,"the, and, to",0.9450976550579071,0.989076241850853,0.6292359828948975,"diskon, brand, promo",0.9798974394798279,0.9098502546548843,0.8714525997638702,"yg, ga, aja"
Marcus Gideon,0.8978332485471453,0.6095714196562767,0.8080152760852467,"the, and, to",0.9018073081970215,0.7285378890879014,0.0,"diskon, brand, promo",0.0,0.6559893488883972,0.0,"gideon, marcus, fernaldi"
Rizki Amelia,0.9176103296103301,0.5311560460499355,0.84301272365782,"the, and, to",0.7642106339335442,0.8159569632261992,0.7789996713399887,"diskon, brand, promo",0.9891429543495178,0.9474270105361938,0.0,"officialcatcoin, catcoin, giveaway"
Eko Yuli Irawan,0.0,0.8824693461259207,0.0,"diskon, brand, promo",0.0,0.9985367804765701,0.0,"chef, zahra, gozali",0.0,0.977220892906189,0.0,"the, and, to"
Diananda Choirunisa,0.9863601922988892,0.984685142250622,0.0,"chef, zahra, gozali",0.8801718652248383,0.9848965155450922,0.0,"diskon, brand, promo",0.8968398896130648,0.9533140526877509,0.0,"the, and, to"
Indra Sjafri,0.0,0.9136412123387511,0.8296106576919555,"chef, zahra, gozali",0.8818608045578002,0.7370208452145258,0.8710057497024536,"yg, ga, aja",0.9746273458003998,0.9970712235995701,0.0,"diskon, brand, promo"
Wahyu Nayaka,0.8636819124221802,0.9671831707159678,0.9838520884513855,"diskon, brand, promo",0.957943320274353,0.91774582862854,0.9555694460868835,"yg, ga, aja",0.0,0.9985577662785848,0.0,"chef, zahra, gozali"
Ahsan Hendra,0.947756963116782,0.8895941717284066,0.8948863595724106,"yg, ga, aja",0.9028834917328574,0.87682158606393,0.8886107206344604,"the, and, to",0.8798510432243347,0.965193811390135,0.0,"chef, zahra, gozali"
Aprilia Manganang,0.8940596797249534,0.8288197964429855,0.8960946321487426,"the, and, to",0.0,0.9645762145519257,0.0,"dennysantoso, indonesia, tarikuang",0.0,0.9901426831881205,0.0,"diskon, brand, promo"
Zohri Lalu,0.8311295509338379,0.9931391575668431,0.9957791566848755,"chef, zahra, gozali",0.0,0.9845157153904438,0.5764143466949463,"diskon, brand, promo",0.8148160576820374,0.9360143144925436,0.7840656638145447,"yg, ga, aja"
