brand,brand_top1_positive,brand_top1_neutral,brand_top1_negative,brand_top1_name,brand_top2_positive,brand_top2_neutral,brand_top2_negative,brand_top2_name,brand_top3_positive,brand_top3_neutral,brand_top3_negative,brand_top3_name
Tokopedia,0.918343914521707,0.9432640307479434,0.9293314559119088,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Top Coffee,0.7182138562202454,0.914137085278829,0.9963659346103668,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Torabika,0.996550977230072,0.9938807884852091,0.4852006137371063,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Traveloka,0.8796136509882261,0.9459989813028598,0.9426293969154358,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Ultra Milk,0.9260395914316177,0.954300786058108,0.9993728995323181,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Viva Cosmetics,0.9010961140905108,0.8938666880130768,0.9865202903747559,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Wardah,0.9301186812420686,0.9420203955277152,0.9233079637799945,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Wings Group,0.6069304347038269,0.9617994651198387,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Zalora,0.9308217249504508,0.9444393102418293,0.9888869779450553,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
Zyrex,0.0,0.0,0.0,"brand, indonesia, yg",0.0,0.0,0.0,"fahardhi, rian, tiktok",0.0,0.0,0.0,"gak, nadanya, ngejudge"
